avl:0:0.000000
avl:1:0.001000
avl:2:0.000000
avl:3:0.001000
avl:4:0.001000
avl:5:0.002000
avl:6:0.002000
avl:7:0.002000
avl:8:0.002000
avl:9:0.002000
avl:10:0.003000
avl:11:0.003000
avl:12:0.003000
avl:13:0.004000
avl:14:0.004000
avl:15:0.004000
avl:16:0.005000
avl:17:0.005000
avl:18:0.005000
avl:19:0.006000
avl:20:0.006000
avl:21:0.006000
avl:22:0.006000
avl:23:0.008000
avl:24:0.008000
avl:25:0.009000
avl:26:0.009000
avl:27:0.008000
avl:28:0.010000
avl:29:0.010000
avl:30:0.012000
avl:31:0.011000
avl:32:0.012000
avl:33:0.012000
avl:34:0.013000
avl:35:0.014000
avl:36:0.013000
avl:37:0.015000
avl:38:0.015000
avl:39:0.015000
avl:40:0.014000
avl:41:0.017000
avl:42:0.018000
avl:43:0.016000
avl:44:0.019000
avl:45:0.018000
avl:46:0.019000
avl:47:0.019000
avl:48:0.020000
avl:49:0.022000
avl:50:0.023000
avl:51:0.022000
avl:52:0.024000
avl:53:0.022000
avl:54:0.026000
avl:55:0.024000
avl:56:0.027000
avl:57:0.025000
avl:58:0.025000
avl:59:0.026000
avl:60:0.027000
avl:61:0.027000
avl:62:0.028000
avl:63:0.027000
avl:64:0.029000
avl:65:0.029000
avl:66:0.030000
avl:67:0.030000
avl:68:0.030000
avl:69:0.032000
avl:70:0.035000
avl:71:0.037000
avl:72:0.035000
avl:73:0.035000
avl:74:0.038000
avl:75:0.037000
avl:76:0.037000
avl:77:0.036000
avl:78:0.039000
avl:79:0.036000
avl:80:0.038000
avl:81:0.040000
avl:82:0.039000
avl:83:0.040000
avl:84:0.040000
avl:85:0.040000
avl:86:0.042000
avl:87:0.044000
avl:88:0.043000
avl:89:0.046000
avl:90:0.050000
avl:91:0.045000
avl:92:0.052000
avl:93:0.046000
avl:94:0.048000
avl:95:0.047000
avl:96:0.048000
avl:97:0.055000
avl:98:0.050000
avl:99:0.058000
avl:100:0.058000
assoc:0:0.000000
assoc:1:0.002000
assoc:2:0.006000
assoc:3:0.015000
assoc:4:0.027000
assoc:5:0.042000
assoc:6:0.061000
assoc:7:0.083000
assoc:8:0.111000
assoc:9:0.142000
assoc:10:0.175000
assoc:11:0.214000
assoc:12:0.256000
assoc:13:0.303000
assoc:14:0.356000
assoc:15:0.410000
assoc:16:0.469000
assoc:17:0.538000
assoc:18:0.604000
assoc:19:0.678000
assoc:20:0.756000
assoc:21:0.833000
assoc:22:0.917000
assoc:23:1.009000
assoc:24:1.104000
assoc:25:1.209000
assoc:26:1.315000
assoc:27:1.430000
assoc:28:1.529000
assoc:29:1.658000
assoc:30:1.769000
assoc:31:1.906000
assoc:32:2.045000
assoc:33:2.219000
assoc:34:2.327000
assoc:35:2.453000
assoc:36:2.609000
assoc:37:2.766000
assoc:38:2.944000
assoc:39:3.100000
assoc:40:3.280000
assoc:41:3.432000
assoc:42:3.625000
assoc:43:3.818000
assoc:44:4.023000
assoc:45:4.199000
assoc:46:4.407000
assoc:47:4.618000
assoc:48:4.835000
assoc:49:5.070000
assoc:50:5.298000
assoc:51:5.545000
assoc:52:5.750000
assoc:53:6.027000
assoc:54:6.263000
assoc:55:6.498000
assoc:56:6.780000
assoc:57:7.076000
assoc:58:7.304000
assoc:59:7.581000
assoc:60:7.878000
assoc:61:8.141000
assoc:62:8.457000
assoc:63:8.774000
assoc:64:9.124000
assoc:65:9.460000
assoc:66:9.778000
assoc:67:10.239000
assoc:68:10.541000
assoc:69:10.794000
assoc:70:11.068000
assoc:71:11.405000
assoc:72:11.824000
assoc:73:12.302000
assoc:74:12.490000
assoc:75:12.846000
assoc:76:13.315000
assoc:77:13.801000
assoc:78:14.189000
assoc:79:14.473000
assoc:80:14.869000
assoc:81:15.379000
assoc:82:15.873000
assoc:83:16.189000
assoc:84:16.532000
assoc:85:16.926000
assoc:86:17.439000
assoc:87:18.198000
assoc:88:18.463000
assoc:89:18.928000
assoc:90:19.313000
assoc:91:19.888000
assoc:92:20.437000
assoc:93:20.777000
assoc:94:21.385000
assoc:95:22.191000
assoc:96:22.735000
assoc:97:23.077000
assoc:98:23.425000
assoc:99:23.925000
assoc:100:24.489000
